date,actual_mean_temp,actual_min_temp,actual_max_temp
2014-7-1,82,72,91
2014-7-7,81,70,92
2014-7-11,81,72,89
2014-7-16,81,72,89
2014-7-18,79,71,87
2014-8-11,82,72,92
2014-8-13,80,74,86
2014-8-16,83,73,93
2014-8-26,78,70,85
2014-8-28,77,64,90
2014-9-6,80,73,86
2014-9-8,80,71,88
2014-9-9,79,71,86
2014-9-14,82,72,91
2014-9-20,73,68,78
2014-10-24,61,46,75
2014-11-7,55,43,67
2014-11-15,50,40,60
2014-11-17,67,52,81
2014-11-19,40,27,53
2014-11-25,66,61,71
2014-11-29,51,34,68
2014-12-8,53,49,56
2014-12-10,48,36,59
2014-12-11,47,34,59
2014-12-18,52,39,64
2014-12-25,53,42,64
2014-12-28,68,54,82
2014-12-29,69,58,79
2014-12-30,64,56,71
2015-1-2,53,48,57
2015-1-7,52,39,65
2015-1-21,62,48,75
2015-2-5,53,42,64
2015-2-12,56,41,70
2015-2-14,46,29,62
2015-2-17,56,45,66
2015-2-20,36,24,47
2015-3-2,67,53,81
2015-3-6,55,45,64
2015-3-8,54,38,70
2015-3-9,61,45,77
2015-3-11,75,64,86
2015-3-21,73,64,82
2015-3-28,53,42,63
2015-4-6,70,60,80
2015-4-10,77,65,89
2015-4-23,74,60,88
2015-4-26,80,70,90
2015-4-28,68,65,71
2015-4-29,71,62,79
2015-4-30,68,57,79
2015-5-4,67,54,80
2015-5-6,71,61,80
2015-5-12,80,67,92
2015-5-16,71,60,82
2015-5-28,73,62,84
2015-6-2,75,64,85
2015-6-4,77,67,86
2015-6-12,80,68,92
2015-6-17,85,72,97
2015-6-24,85,74,95
2015-6-25,81,73,89
2015-6-26,82,73,90
2015-6-29,79,71,86
